Element	Site	Distance from PP	Description	Eval Date	Layer Thickness	Mass coefficient.	Na	Na	Mg	Mg	Al	Al	Si	Si	P	P	S	S	Cl	Cl	K	K	Ca	Ca	Ti	Ti	V	V	Cr	Cr	Mn	Mn	Fe	Fe	Co	Co	Ni	Ni	Cu	Cu	Zn	Zn	Ga	Ga	Ge	Ge	As	As	Se	Se	Br	Br	Kr	Kr	Rb	Rb	Sr	Sr	Y	Y	Zr	Zr	Nb	Nb	Mo	Mo	Tc	Tc	Ru	Ru	Rh	Rh	Pd	Pd	Ag	Ag	Cd	Cd	In	In	Sn	Sn	Sb	Sb	Te	Te	I	I	Xe	Xe	Cs	Cs	Ba	Ba	La	La	Ce	Ce	Pr	Pr	Nd	Nd	Pm	Pm	Sm	Sm	Er	Er	Tm	Tm	Yb	Yb	Lu	Lu	Hf	Hf	Ta	Ta	W	W	Au	Au	Hg	Hg	Tl	Tl	Pb	Pb	Bi	Bi	Th	Th	U	U	Sum Conc.		YLPP	0.00000000
Dimension					nm	cm?/g	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	%	%	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	%	%	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	%	%	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	%	%	?g/g	?g/g	?g/g	?g/g	%	%	?g/g	?g/g	%	%	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	?g/g	%		YL01	0.02385448
YL50_S	YL50	0.02614989		8/15/2012 16:13	0	12.7037	0.552	0.069	2.19	0.021	10.68	0.011	30.06	0.00001	0.0678	0.0021	0.0192	0.00079	0.00171	0.00084	2.154	0.00001	2.382	0.00082	5521	0.1	122.7	0.8	79.6	0.8	817.6	0.6	47160	0.1	< 13	13	48	1.8	40.5	1.2	100.7	0.7	21.2	0.7	< 0.5	0.5	11.3	0.4	< 0.1	0.1	1.3	0.3			119.6	0.3	129.7	0.3	31.9	0.6	238.2	0.6	23.1	1.1	2.2	1.1			0.8	0.5	< 0.5	0.5	< 0.5	0.5	3.4	0.9	< 0.3	0.3	0.4	0.4	3.6	0.9	0.9	0.9	0.3	0.3	1.7	1.6			5.4	4.2	616.6	5.3	49.8	8	113.2	9.5	< 4.0	4	< 24	23			5.4	2.3									8.1	2.7	< 1.6	1.6	3	1.6	< 1.1	1	< 0.7	0.7	< 0.2	0.2	35.7	0.7	< 0.5	0.5	14.2	0.8	< 0.4	0.4	102.9987		YL49	0.01784872
YL51_S	YL51	0.01776705		8/15/2012 16:16	0	13.0012	0.675	0.081	2.211	0.025	9.754	0.013	31.44	0.00001	0.1564	0.0022	0.04003	0.00067	0.00572	0.00086	1.882	0.00001	2.273	0.00078	4965	0.1	98.2	0.8	65	0.8	709.2	0.6	39840	0.1	16.5	13	42.9	1.8	40.2	1.2	100.9	0.7	17.6	0.7	< 0.5	0.5	8.4	0.4	< 0.2	0.2	1.8	0.3			100.3	0.3	131	0.3	28.9	0.6	245	0.6	19.6	1.2	< 0.9	0.9			0.9	0.5	< 0.5	0.5	< 0.5	0.5	3.4	0.9	< 0.5	0.5	0.9	0.7	3.4	0.9	2.1	1.1	< 0.8	0.8	3.1	2.2			7.2	4.3	558	5.5	57.3	8.8	113.4	10	< 18	18	< 26	26			5.7	2.2									8.5	2.6	< 1.6	1.6	2.5	1.6	< 1.0	1	< 0.7	0.7	< 0.7	0.7	30.1	0.7	< 0.5	0.5	11.7	0.7	< 0.4	0.4	102.9991		YL50	0.02614989
YL52_S	YL52	0.03227614		8/15/2012 16:19	0	13.2288	0.32	0.085	2.216	0.025	11.29	0.013	30.38	0.00001	0.1001	0.0023	0.04937	0.00064	0.00909	0.00088	2.085	0.00001	1.19	0.001	5458	0.1	119.6	0.8	75	0.7	709.5	0.6	47620	0.1	30.6	13	49.5	1.9	45.3	1.2	101.2	0.7	20.3	0.7	1.6	0.7	11.7	0.4	< 0.1	0.1	2.9	0.3			112.1	0.3	101.8	0.3	31	0.7	219.5	0.7	20.3	1.2	< 0.6	0.5			< 0.5	0.5	< 0.5	0.5	< 0.5	0.5	4.3	0.9	< 0.6	0.6	1.3	0.7	4.6	0.8	3.4	1	2.1	0.8	4	2.1			10.4	4.2	536.9	5.3	63.1	8.6	121.4	10	< 4.0	4	< 21	21			7	2.2									7.9	2.7	< 1.6	1.6	2.2	1.6	< 1.1	1.1	< 0.7	0.7	< 0.7	0.7	37.1	0.7	< 0.5	0.5	13.4	0.8	< 0.4	0.4	102.9979		YL51	0.01776705
YL53_S	YL53	0.03910456		8/15/2012 16:23	0	13.3709	0.216	0.078	2.389	0.023	11.93	0.012	29.29	0.00001	0.0805	0.0023	0.03582	0.00076	0.00513	0.00089	2.298	0.00001	1.286	0.0011	5534	0.1	136	0.8	84.4	0.7	786.7	0.6	52070	0.1	28.4	13	54.4	1.9	48.8	1.2	111.3	0.7	21.8	0.7	2.1	0.8	12.7	0.4	0.4	0.3	2.5	0.3			129.2	0.3	94	0.3	29.4	0.7	181.2	0.7	19.7	1.1	< 1.1	1.1			0.9	0.6	< 0.5	0.5	< 0.5	0.5	3.9	0.9	< 0.4	0.4	0.8	0.7	4.1	0.8	1.9	1	1.3	0.8	2.8	2.1			7.4	4.1	576.5	5.2	49	8.1	103.2	9.6	< 4.0	4	< 5.1	5			5.4	2.3									6.8	2.8	< 1.6	1.6	< 1.4	1.4	< 1.1	1.1	< 0.7	0.7	< 0.6	0.6	38.1	0.7	< 0.5	0.5	14.6	0.9	< 0.4	0.4	102.9996		YL52	0.03227614
YL54_S	YL54	0.04692641		8/15/2012 16:26	0	11.6494	< 0.010	0.01	0.654	0.021	9.729	0.011	34.55	0.00001	0.0545	0.0021	0.02091	0.00072	0.00087	0.00078	1.427	0.00001	0.4073	0.00082	5369	0.1	85.5	0.7	67	0.5	505.5	0.6	41760	0.1	< 12	12	32.8	1.7	24.9	1.1	62.4	0.6	16.9	0.7	1.1	0.7	13.5	0.4	< 0.1	0.1	1.5	0.3			91.5	0.3	61.5	0.3	32.8	0.6	495	0.1	24.1	1.1	< 0.5	0.5			0.7	0.5	< 0.5	0.5	< 0.5	0.5	4.5	0.8	< 0.2	0.2	0.3	0.3	3.5	0.8	1.3	1	< 0.5	0.5	1.8	1.8			< 4.3	4.3	479.7	5.6	49.2	8.3	129.2	9.9	< 4.0	4	< 5.1	5			6.8	1.8									17.8	2.5	< 1.6	1.6	3	1.5	< 1.0	1	< 0.7	0.7	0.6	0.6	35.5	0.7	< 0.5	0.5	14.8	0.7	< 0.4	0.4	102.9982		YL53	0.03910456
YL55_S	YL55	0.05514561		8/16/2012 13:08	0	13.8239	< 0.086	0.086	2.221	0.029	12.85	0.013	28.99	0.00001	0.108	0.0024	0.06432	0.00059	0.00104	0.00092	2.189	0.00001	0.833	0.0011	4749	0.1	128	0.8	78.6	0.6	1170	0.4	52780	0.1	< 13	13	50.3	1.9	43	1.3	119	0.7	20.7	0.7	< 0.5	0.5	17.4	0.4	0.3	0.3	3.5	0.3			124.9	0.3	84.3	0.3	26.5	0.7	168.6	0.8	19.3	1.2	< 1.1	1.1			< 0.5	0.5	< 0.5	0.5	< 0.5	0.5	3.9	0.9	0.7	0.7	0.8	0.7	4	0.9	3.1	1.1	1.1	0.9	4.8	2.3			7.7	4.5	567.4	5.7	47.2	9.8	103.1	11	< 4.0	4	< 5.1	5			< 8.1	8									6.6	2.7	< 1.6	1.6	2.4	1.6	< 1.1	1.1	< 0.7	0.7	< 0.2	0.2	41.5	0.8	< 0.5	0.5	13.6	0.9	< 0.4	0.4	102.8919		YL54	0.04692641
YL56_S	YL56	0.07548677		8/16/2012 13:11	0	12.887	0.201	0.055	1.518	0.016	9.534	0.0075	23.47	0.00001	0.6084	0.0018	0.1124	0.00001	0.01266	0.00078	2.318	0.00001	1.529	0.00095	5235	0.1	139.5	0.8	98	0.7	1768	0.6	54530	0.1	15.7	12	56.8	1.8	47	1.2	130.4	0.7	25.6	0.7	1.2	0.8	10.7	0.4	< 0.2	0.2	5.8	0.3			134.6	0.3	125.9	0.3	32.5	0.6	161.8	0.7	17.9	1	1.2	0.9			0.8	0.5	< 0.5	0.5	< 0.5	0.5	3.3	0.8	0.6	0.5	0.8	0.6	3.4	0.8	2	0.9	0.7	0.7	4.1	1.9			4.9	3.6	690	4.4	36.2	6.3	85.7	7.8	< 4.0	4	< 5.1	5			< 8.1	8									8.9	2.8	< 1.6	1.6	2.5	1.7	< 1.1	1.1	< 0.7	0.7	< 0.7	0.7	44.1	0.7	< 0.5	0.5	16.8	0.9	< 0.4	0.4	86.7596		YL55	0.05514561
YL57_S	YL57	0.04918862		8/16/2012 13:15	0	13.1381	0.1255	0.082	2.089	0.024	12.55	0.011	29.33	0.00001	0.12	0.0022	0.03929	0.00074	0.00345	0.00088	2.243	0.00001	0.7345	0.0011	5206	0.1	138.2	0.8	86.3	0.6	786.3	0.6	53210	0.1	34	13	54.8	1.9	44.4	1.2	109.5	0.7	23.5	0.7	1.9	0.7	14.8	0.4	< 0.2	0.2	2	0.3			131.1	0.3	84.3	0.3	29.8	0.7	175.9	0.8	20.1	1.1	1.5	1.1			0.7	0.5	< 0.5	0.5	< 0.5	0.5	3.5	0.9	< 0.7	0.7	1	0.7	4.4	0.8	3.2	1	1.2	0.8	3	2.2			12	4.2	638.2	5.3	59.2	8.5	120.5	10	< 4.0	4	< 5.1	5			5.5	2.3									7.9	2.7	< 1.6	1.6	< 1.1	1	< 1.1	1.1	< 0.7	0.7	< 0.2	0.2	40.6	0.7	< 0.5	0.5	15.2	0.9	< 0.4	0.4	102.9998		YL56	0.07548677
YL58_S	YL58	0.04541718		8/16/2012 13:18	0	11.7619	0.283	0.049	1.357	0.015	9.034	0.0082	26.12	0.00001	0.0987	0.0019	0.03824	0.00058	0.00199	0.00074	2.117	0.00001	1.008	0.00091	5232	0.1	120.5	0.7	84	0.6	758.3	0.5	43350	0.1	32.2	12	46.8	1.7	50.5	1.1	105.4	0.6	22.5	0.7	< 0.6	0.6	15	0.3	0.5	0.3	1.8	0.3			112.4	0.2	96.7	0.2	31.9	0.6	229.3	0.5	19.8	0.9	0.8	0.7			< 0.5	0.5	< 0.5	0.5	< 0.5	0.5	4	0.8	< 0.2	0.2	0.4	0.4	6.5	0.8	1.7	0.9	< 0.7	0.7	< 1.9	1.9			< 3.8	3.7	538.9	4.8	39.1	6.6	93.3	8.1	< 4.0	4	< 5.1	5			6.6	2									11.1	2.6	< 1.6	1.6	2.7	1.5	< 1.0	1	< 0.7	0.7	< 0.4	0.4	40	0.6	< 0.5	0.5	14.5	0.8	< 0.4	0.4	87.2595		YL57	0.04918862
YL59_S	YL59	0.03247497		8/16/2012 13:21	0	12.5089	0.288	0.07	2.041	0.021	10.23	0.011	30.77	0.00001	0.0677	0.0021	0.0574	0.00055	0.00439	0.00083	2.035	0.00001	2.749	0.00072	5188	0.1	103.2	0.8	70.5	0.8	811.2	0.6	43800	0.1	25.4	13	42.1	1.8	32.8	1.2	88.3	0.7	19.7	0.7	< 0.5	0.5	8.9	0.4	< 0.5	0.5	0.6	0.3			110.1	0.3	149.7	0.2	31.6	0.6	252.9	0.6	20	1.1	1	1			< 0.5	0.5	< 0.5	0.5	< 0.5	0.5	3.8	0.9	< 0.2	0.2	0.7	0.7	3.5	0.8	2	1	1	0.8	< 2.1	2.1			7.7	4.1	599.9	5.2	59.7	7.9	118.6	9.4	< 17	17	< 24	24			4.4	2.3									8.4	2.7	< 1.6	1.6	1.7	1.6	< 1.0	1	< 0.7	0.7	< 0.3	0.3	31.6	0.7	< 0.5	0.5	13.6	0.8	< 0.4	0.4	102.9974		YL58	0.04541718
YL60_S	YL60	0.05650176		8/16/2012 13:25	0	14.3237	0.1231	0.1	2.411	0.03	12.32	0.014	29.92	0.00001	0.0653	0.0025	0.02418	0.00087	0.00201	0.00096	1.997	0.00001	0.8251	0.0011	4675	0.1	115.9	0.8	74	0.6	721.3	0.5	46880	0.1	21.9	13	44.9	2	39	1.3	93.4	0.7	18.3	0.7	1.4	0.7	10.1	0.4	< 0.2	0.2	1.2	0.3			110.9	0.3	87	0.3	28.2	0.7	194.7	0.8	17.8	1.3	< 1.0	1			< 0.6	0.6	< 0.5	0.5	< 0.5	0.5	3	0.9	< 0.6	0.5	1.3	0.7	3.3	0.9	2.9	1.1	0.9	0.9	2.4	2.3			5	4.6	534.9	5.8	49.3	10	104.8	11	< 4.0	4	< 5.1	5			5.2	2.3									7.8	2.7	< 1.6	1.6	< 1.2	1.2	< 1.1	1.1	< 0.7	0.7	< 0.7	0.7	32.6	0.8	< 0.5	0.5	11.6	0.8	< 0.4	0.4	102.9997		YL59	0.03247497
YL61_S	YL61	0.05961879		8/16/2012 13:28	0	15.8721	< 0.010	0.01	1.383	0.03	12.44	0.0079	23.98	0.002	0.03344	0.0026	0.3161	0.00001	0.00555	0.00098	1.385	0.00022	11.83	0.00001	4856	0.1	153.4	0.8	72.4	1.3	465.1	0.8	38960	0.1	36.6	16	42.5	2.3	63.6	1.4	64.2	0.8	19.2	0.7	< 0.5	0.5	3.8	0.5	1.4	0.4	1.9	0.3			73.9	0.3	1010	0.1	43.2	0.7	329.7	0.5	27.8	1.5	3.3	1.4			0.8	0.7	< 0.5	0.5	< 0.5	0.5	3.8	1.1	< 0.4	0.4	1.2	0.8	4	1	4.2	1.2	2.6	1	8.4	2.5			12.1	4.9	632.1	6.3	117	11	213.1	12	22.6	21	51.9	32			13.8	3	< 3.7	3.6			< 4.0	4			< 2.0	2	< 1.6	1.6	< 1.2	1.2	1.5	1.2	< 0.7	0.7	< 0.7	0.7	40.5	0.9	< 0.5	0.5	17.1	0.8	9.2	0.8	102.9996		YL60	0.05650176
YL62_S	YL62	0.08463563		8/16/2012 13:31	0	13.4687	0.204	0.055	1.847	0.016	9.879	0.0077	24.48	0.00001	0.0644	0.002	0.02024	0.00077	< 0.00080	0.0008	2.436	0.00001	1.366	0.001	6087	0.1	164	0.8	97.4	0.7	998.4	0.5	59280	0.1	37.4	13	65.4	1.9	54.2	1.2	132.3	0.7	28.1	0.7	1	0.8	15.3	0.4	< 0.5	0.5	1.3	0.3			148.5	0.3	102.1	0.3	35	0.7	191.6	0.7	23.3	1	1.7	1			0.8	0.5	< 0.5	0.5	< 0.5	0.5	3.6	0.8	< 0.2	0.2	0.5	0.5	4.3	0.8	2.3	1	< 0.7	0.7	1.6	1.4			8.4	3.7	668.4	4.6	39.7	6.6	98.3	8	< 4.0	4	< 5.1	5			4.5	2.3									11.1	2.9	< 1.6	1.6	< 1.7	1.7	1.2	1.1	< 0.7	0.7	0.6	0.6	40.6	0.7	< 0.5	0.5	18.3	1	< 0.4	0.4	89.2878		YL61	0.05961879
																																																																																																																																									YL62	0.08463563
